2019-09-27,Hunter Brookshier,State of the Real Estate Market in Portland
2019-10-25,Richard McGrew,Mortgage Note Investments
2019-11-15,Richard McGrew,Mortgage Note Investments
2019-11-22,Chris Tanner,Self Directed Retirement Accounts
2019-12-06,Scott Maurer,Self Directed Retirement Accounts
2019-12-13,David LaPlante,Researching Hyper Local Markets
2020-01-17,Bernard Reisz and Sarah Sullivan,SIRAs and Real Estate Strategies
2020-01-24,Scott Pastel,Marshall Reddick Turn Key Rentals
2020-01-31,Jerome Myers,Investor Mindsets
2020-02-07,Travis Watts,Multifamily Investment Part 1
2020-02-14,Tim Hubbard,Short term rentals
2020-02-21,Patrick Prunty,Turn-Key Single Family Home Investments
2020-02-28,Dr Eric Tait MD,Alternative Investments
2020-03-06,Daniel Holmlund,Real Estate Syndication Pt. 1
2020-03-13,Daniel Holmlund,Real Estate Syndication Pt. 2
2020-03-20,Stu Kerber,Investing in Farm Land in the Columbia River Valley
2020-03-27,Kathy Fettke,State of the Economy
2020-04-03,Mark Kenney,Value-Add apartments
2020-04-10,Sam Willson,Investing in Parking Lots
2020-04-17,Kent Ritter,Building Community in Real Estate Investments
2020-04-24,Amanda Han  Matthew MacFarland,Tax Changes and the CARES Act
2020-05-01,Courtney Buck,Wholesaling Properties
2020-05-08,Joshua Plave,Self Directed Retirement Accounts
2020-05-15,David Yoder,Fix and Flip Investing in Indianapolis
2020-05-22,Brad St Onge,Investing in Farmland in South America
2020-05-29,Whitney Sewell,Buying Real Estate with Partners - Syndication
2020-06-05,Adiel Gorel,Buying Single Family Homes
2020-06-12,Bob Bowman,Evaluating Commercial Office Space Deals
2020-06-19,Chace Fraser - Mr. House Hack,House Hacking
2020-06-26,Daniel Holmlund,Ultimate Beginners Guide to Real Estate Investing Strategies
2020-07-10,Larry Suter,Single Family Homes Short Term Rentals Ground Up Development Syndications
2020-07-17,Fabiola Flueranvil,Entrepreneur shares her story breaking into the real estate investing
2020-07-24,Adam A Admas,How Hiring Virtual Assistants Can Scale Your Real Estate Business
2020-07-31,Daniel Holmlund,How to Find and Buy Single Family Home Rentals
2020-08-07,Leka Devatha,Fix  Flips Seattle REI Scene
2020-08-14,Gina Sapnar,REO Operations Manager for Redfin Corporation
2020-08-21,Jason Thiele,Financial Equations for Predicting Your Return
2020-08-28,Joseph Bramante,TriArc Real Estate Partners
2020-09-04,Daniel Holmlund,Real Estate Investment Club 2.0
2020-09-11,Teri Styers,Flipping and Rehabbing
2020-09-18,Milissa Ormiston,1031 Exchanges
2020-09-25,Jerome Myers,Joint Ventures
2020-10-02,Chirag Shah and Badri Malynur,Avestorinc.com
2020-10-09,Tom Schneider and Amy Kirsch,Roofstock
2020-10-10,REI Discussion Group,Open Discussion Group for Questions and Community
2020-10-23,Agostino Pintus,How I Brought the Rockefeller Center in Indianapolis
2020-10-30,Mike Taravella,Mike Taravella - Asset Management of Multifamily Properties
2020-11-06,Sarah Kruse  Steve Barnes,Focus on the Portland Housing Market
2020-11-13,Jillian Ivey Sidoti,Last Live Lived Real Estate Lawyer Who Focuses on Self Improvement Stories
2020-11-20,Brian Briscoe,Active Duty Marine Lieutenant Colonel Invests in Real Estate
2020-12-04,Landon Shaffer,Arizona Market Update Q4 2020
2020-12-11,Daniel Holmlund,Long Distance Real Estate Investing
2021-01-08,Shannon Robnett,Ground Up Development in Boise ID
2021-01-15,Kenny Wolfe,Triple Net Leases
2021-01-22,REI Discussion Group,Single Family Homes
2021-01-22,Andrea Duane,Folsom Market Update Q1 2021
2021-01-29,Julie Holly,How to Keep Grounded While Doing It All
2021-02-05,Logan Freeman,Confessions of a Real Estate Broker
2021-02-12,Caleb Guilliams,The And Asset
2021-02-19,Daniel Holmlund,Talk about LLCs
2021-02-20,Jason Hartman,Macroeconomics - How Inflation make Debit An Asset
2021-02-26,Kay Kay Singh,Multifamily Real Estate Key Concepts
